word,meaning,linguistic process,mistake location,mistake type,L1 interference,source,enTenTen18
reglament,rules,loan translation (noun),root,using wrong morpheme,2,MPa_25_2 (Exam2017),27 (1 russian context)
reglaments,rules,loan translation (noun),root,using wrong morpheme,2,–,0
respectance,respect,nominalization,suffix,adding redundant morpheme,1,NMya_60_2 (Exam2017),1 (0 russian contexts)
resultative,effective,loan translation (adj),root,using wrong morpheme,2,MPa_9_2 (Exam2017),different meaning
safetiness,safety,nominalization,suffix,using wrong morpheme,1,ABu_96_2 (Exam2019),9 (0 russian contexts)
shtraf,fine,loan translation (noun),root,using wrong morpheme,2,–,0
shtrafs,fines,loan translation (noun),root,using wrong morpheme,2,ABl_27_2 (Exam2017),0
solvings,solutions,nominalization,suffix,using wrong morpheme,1,NMya_24_2 (Exam2017),17 (0 russian contexts)
sportmans,sportsmen,plural formation,suffix,using wrong morpheme,2,"MPa_16_2, MPa_18_2, MPa_26_2, MPa_32_2, MPa_9_2 (Exam2017)",0
sportsmens,sportsmen,plural formation,suffix,adding redundant morpheme,2,"MPa_21_2, MPa_25_2, MPa_26_2, MPa_28_2, MPa_30_2, MPa_31_2, MPa_32_2, MPa_5_2 (Exam2017)",226 (0 russian contexts)
stimules,stimuli,loan translation (noun),suffix,using wrong morpheme,0,EGe_268_2 (Exam2017),3 (0 russian contexts)
strates,stratums,plural formation,root,using wrong morpheme,2,ABl_30_2 (Exam2017),different meaning
summaring,summarizing,gerund formation,base ,using wrong base ,0,ABl_25_1 (Exam2017),13 (0 russian contexts)
supportance,support,nominalization,suffix,adding redundant morpheme,1,VPe_20_1 (Exam2014),13 (0 russian contexts)
supportment,support,nominalization,suffix,adding redundant morpheme,1,VPe_23_1 (Exam2014),63 (0 russian contexts)
tendension,tendency,loan translation (noun),suffix,using wrong morpheme,2,"DAr_31_1 (Exam2014), ZEv_44_2, MTsy_30_1, OR_60_1, ZEv_44_2 (Exam2016)",1 (0 russian contexts)
tendensions,tendencies,loan translation (noun),suffix,using wrong morpheme,2,–,0
tendention,tendency,loan translation (noun),suffix,using wrong morpheme,2,"AAl_7_1, AAl_10_1, ADe_18_1, DAr_8_1, ESha_44_1, MTsy_28_2, TSha_11_1, TSha_17_1, VPe_41_1 (Exam2014), JSL_56_2, JSL_3_1, JSL_12_1, OR_29_1 (Exam2016), EGe_173_1, DPe_25_1, DPe_60_1, DOv_22_2, DOv_3_2, NMya_62_1, VSa_91_1 (Exam2017)",5 (0 russian contexts)
tendentions,tendencies,loan translation (noun),suffix,using wrong morpheme,2,"DAr_8_1, EPa_53_1 (2014), JSL_41_1, JSL_61_1 (Exam2016), DPe_25_1, NMya_25_2, VSa_53_1, VSa_86_1 (Exam2017)",4 (2 russian contexts)
the poors,the poor ,plural formation (uncountable),suffix,adding redundant morpheme,2,–,0
the youngs,the young,plural formation (uncountable),suffix,adding redundant morpheme,2,"ADe_21_1 (Exam2014), NMya_19_2 (Exam2017)",94 (0 russian contexts)
therapism,physical therapy,nominalization,suffix,adding redundant morpheme,0,EPa_13_2 (Exam2014),52 (0 russian contexts)
thesises,theses,plural formation,suffix,using wrong morpheme,2,–,0
timespending,pastime,loan translation (noun),2d root,using wrong morpheme,2,DOv_25_1 (Exam2017),9 (0 russian contexts)
totalitarism,totalitarianism ,loan translation (noun),suffix,lacking a morpheme,2,ABu_67_2 (Exam2019),102 (0 russian contexts)
travellings,travels,nominalization,suffix,adding redundant morpheme,1,JSl_233_2 (Exam2016),64 (2 russian contexts)
ultimative,ultimate,loan translation (adj),suffix,using wrong morpheme,2,–,0
unability,inability,negation formation (noun),prefix,using wrong morpheme,0,"MTsy_36_2, MTsy_9_1 (Exam2016), ABu_128_2, ZEv_25_2 (Exam2019)",106 (0 russian contexts)
unadequate,inadequate,negation formation (adj),prefix,using wrong morpheme,0,DOv_32_1 (Exam2017),18 (0 russian contexts)
unappropriate,inappropriate ,negation formation (adj),prefix,using wrong morpheme,0,"EZa_29_2, MTsy_46_2, VKo_16_2, ZEv_15_2, ZEv_5_2, ZEv_6_2 (Exam2014), JSl_121_2, JSl_95_2 (Exam2016)",147 (0 russian contexts)
unbeneficial,non-beneficial,negation formation (adj),prefix,using wrong morpheme,0,"ZEv_18_2 (Exam2016), MPa_39_2 (Exam2017)",283 (1 russian context)
unceparatable,inseparable,negation formation (adj),"prefix, base, root ","using wrong morpheme, using wrong morpheme, typo",0,OR_85_2 (Exam2016),0
uncomfortabilities,discomforts,negation formation (noun),"prefix, suffix","using wrong morpheme, adding redundant morpheme",2,MTsy_25_2 (Exam2016),1 (0 russian contexts)
uncrease,decrease,"negation formation, verb",prefix,using wrong morpheme,0,EKu_23_1 (Exam2016),14 (0 russian contexts)
underward,downward,adjective formation,root,using wrong morpheme,0,ZEv_52_1 (Exam2016),4 (0 russian context)
uneffective,ineffective,negation formation (adj),prefix,using wrong morpheme,0,"EKu_100_2, OR_27_2 (Exam2016), MPa_34_2 (Exam2017)",175 (0 russian contexts)
unefficiencies,inefficiencies,negation formation (noun),prefix,using wrong morpheme,0,–,0
unefficiency,inefficiency,negation formation (noun),prefix,using wrong morpheme,0,TSha_17_1 (Exam2014),4 (0 russian contexts)
unefficient,inefficient,negation formation (adj),prefix,using wrong morpheme,0,"TSha_20_2 (Exam2014), OR_2_2 (Exam2016)",62 (0 russian contexts)
unemployalty,unemployment,nominalization,suffix,using wrong morpheme,0,EKu_63_2 (Exam2016),0
unequality,inequality,negation formation (noun),prefix,using wrong morpheme,0,"EEm_5_2 , TSha_8_2, TSha_18_2, TSha_20_2 (Exam2014) см TSha_5_2 (Exam2014)",107 (0 russian contexts)
unexpansive,inexpensive,negation formation (adj),"prefix, root","using wrong morpheme, typo",0,JSl_233_2 (Exam2016),23 (0 russian contexts)
unexpensive,inexpensive,negation formation (adj),prefix,using wrong morpheme,0,JSl_140_2 (Exam2016),141 (2 russian contexts)
unfamous,unknown,negation formation (noun),root,using wrong morpheme,1,NMya_39_2 (Exam2017),148 (0 russian contexts)
unforeign,local,negation formation (adj),root,using wrong morpheme,0,ESa_56_2 (Exam2017),4 (0 russian contexts)
unguiltiveness,innocence,nominalization,root,using wrong morpheme,2,OBy_122_2 (Exam2017),0
universitet,university,loan translation (noun),root,using misspelled morpheme,2,AAl_31_2 (Exam2014),896 (4 russian contexts)
unjustice,injustice,negation formation (noun),prefix,using wrong morpheme,0,"VPe_33_2 (Exam2014), JSl_95_2, JSl_4_1 (Exam2016), ABl_45_2, DPe_15_2 (Exam2017)",180 (0 russian contexts)
unlaw,illegal,negation formation (adj),"root, prefix","using wrong morpheme, using wrong morpheme",1,ABl_4_2 (Exam2017),64 (0 russian contexts)
unnormal,abnormal,negation formation (adj),prefix,using wrong morpheme,0,"AAl_9_2, AMe_3_2 (Exam2014), ABl_31_2, DPe_62_2 (Exam2017)",112 (0 russian contexts)
unperspective,unpromising,negation formation (adj),root,using wrong morpheme,2,"EEm_6_2 (Exam2014), JSl_172_2 (Exam2016)",0
unpositive,negative,negation formation (adj),"root, prefix","using wrong morpheme, adding redundant morpheme",0,NMya_35_2 (Exam2017),7 (0 russian contexts)
unrational,irrational ,negation formation (adj),prefix,using wrong morpheme,0,JSl_124_2 (Exam2016),81 (0 russian contexts)
unresponseble,irresponsible,negation formation (adj),prefix,using wrong morpheme,0,DZu_21_2 (Exam2014),0
unsatisfaction,dissatisfaction,negation formation (noun),prefix,using wrong morpheme,0,"EKu_10_2 (Exam2016), ESa_53_2 (Exam2017)",110 (0 russian contexts)
unsignificant,insignificant,negation formation (adj),prefix,using wrong morpheme,0,"MTsy_39_1 (Exam2016), MPa_3_1 (Exam2017)",45 (0 russian contexts)
unsimilar,dissimilar,negation formation (adj),prefix,using wrong morpheme,0,"AAl_18_1, EPa_29_1, ESha_60_1, MGr_12_2 (Exam2014)",107 (0 russian contexts)
unsosiate,antisocial,negation formation (adj),"prefix, suffix","using wrong morpheme, using wrong morpheme ",0,AMe_26_2 (Exam2014),0
unstability,instability,negation formation (noun),prefix,using wrong morpheme,0,"VKo_10_2 (Exam2014), NMya_22_2 (Exam2017), ABu_120_2 (Exam2019)",284 (0 russian contexts)
untrust,distrust,negation formation (noun),prefix,using wrong morpheme,0,MPa_9_2 (Exam2017),363 (0 russian contexts)
unvalid,invalid,negation formation (adj),prefix,using wrong morpheme,0,ABu_118_2 (Exam2019),41 (0 russian contexts)
unworking,unemployment,nominalization,root,using wrong morpheme,0,JSl_109_2 (Exam2016),149 (0 russian contexts)
usement,use,nominalization,suffix,adding redundant morpheme,1,OBy_182_2 (Exam2017),9 (0 russian contexts)
videocamera,video camera,loan translation (compound),whole word,compounding ,2,–,0
videocameras,video cameras,loan translation (compound),whole word,compounding ,2,ABl_28_2 (Exam2017),214 (6 russian contexts)
violeness,violence,nominalization,suffix,using wrong morpheme,0,OBy_122_2 (Exam2017),0
walkings,walks,nominalization,suffix,adding redundant morpheme,1,KT_14_2 (Exam2015),124 (0 russian contexts)
widelyused,widely used,compound ,whole word,adding redundant morpheme,0,DOv_20_1 (Exam2017),76 (0 russian contexts)
without-gender,genderless,negation formation (adj),"2d root, suffix","using wrong morpheme, lacking a morpheme",1,VPe_41_2 (Exam2014),0
work-people,workers,compound,"2d root, suffix","lacking a morpheme, adding redundant morpheme",0,ADe_8_1 (Exam2014),419 (0 russian contexts)
worsest,worst,comparative form,suffix,using wrong morpheme,0,AGo_11_1 (Exam2017),28 (0 russian contexts)
